"TIME","GEO","INDIC_DE","Value","Flag and Footnotes"
"2006","Europäische Union (28 Länder)","Medianalter der Bevölkerung","39.8",""
"2006","Europäische Union (28 Länder)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Europäische Union (28 Länder)","Anteil der Bevölkerung  jünger als 15 Jahre","16.0",""
"2006","Europäische Union (28 Länder)","Anteil der Bevölkerung jünger als 20 Jahre","22.2",""
"2006","Europäische Union (28 Länder)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Europäische Union (28 Länder)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","25.0",""
"2006","Europäische Union (27 Länder)","Medianalter der Bevölkerung","39.8",""
"2006","Europäische Union (27 Länder)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Europäische Union (27 Länder)","Anteil der Bevölkerung  jünger als 15 Jahre","16.1",""
"2006","Europäische Union (27 Länder)","Anteil der Bevölkerung jünger als 20 Jahre","22.2",""
"2006","Europäische Union (27 Länder)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.3",""
"2006","Europäische Union (27 Länder)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","25.0",""
"2006","Euroraum (19 Länder)","Medianalter der Bevölkerung","40.4",""
"2006","Euroraum (19 Länder)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Euroraum (19 Länder)","Anteil der Bevölkerung  jünger als 15 Jahre","15.7",""
"2006","Euroraum (19 Länder)","Anteil der Bevölkerung jünger als 20 Jahre","21.5",""
"2006","Euroraum (19 Länder)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Euroraum (19 Länder)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.4",""
"2006","Euroraum (18 Länder)","Medianalter der Bevölkerung","40.4",""
"2006","Euroraum (18 Länder)","Anteil der Bevölkerung im Alter von 0-4 Jahren","5.1",""
"2006","Euroraum (18 Länder)","Anteil der Bevölkerung  jünger als 15 Jahre","15.6",""
"2006","Euroraum (18 Länder)","Anteil der Bevölkerung jünger als 20 Jahre","21.3",""
"2006","Euroraum (18 Länder)","Anteil der Bevölkerung im Alter von 5-9 Jahren","5.2",""
"2006","Euroraum (18 Länder)","Alterslastenquote, 1. Variante (Anteil der Bevölkerung im Alter von 65 und mehr Jahren bezogen auf die Bevölkerung im Alter von 15 bis 64 Jahren)","26.4",""
