"TIME","GEO","AGE","SEX","UNIT","Value"
"1949","European Union (28 countries)","Total","Total","Number",":"
"1949","European Union (27 countries)","Total","Total","Number",":"
"1949","Euro area (19 countries)","Total","Total","Number",":"
"1949","Euro area (18 countries)","Total","Total","Number",":"
"1949","Belgium","Total","Total","Number",":"
"1949","Bulgaria","Total","Total","Number",":"
"1949","Czech Republic","Total","Total","Number",":"
"1949","Denmark","Total","Total","Number",":"
"1949","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1949","Germany including former GDR","Total","Total","Number",":"
"1949","Estonia","Total","Total","Number",":"
"1949","Ireland","Total","Total","Number",":"
"1949","Greece","Total","Total","Number",":"
"1949","Spain","Total","Total","Number",":"
"1949","France","Total","Total","Number",":"
"1949","France (metropolitan)","Total","Total","Number",":"
"1949","Croatia","Total","Total","Number",":"
"1949","Italy","Total","Total","Number",":"
"1949","Cyprus","Total","Total","Number",":"
"1949","Latvia","Total","Total","Number",":"
"1949","Lithuania","Total","Total","Number",":"
"1949","Luxembourg","Total","Total","Number",":"
"1949","Hungary","Total","Total","Number",":"
"1949","Malta","Total","Total","Number",":"
"1949","Netherlands","Total","Total","Number",":"
"1949","Austria","Total","Total","Number",":"
"1949","Poland","Total","Total","Number",":"
"1949","Portugal","Total","Total","Number",":"
"1949","Romania","Total","Total","Number",":"
"1949","Slovenia","Total","Total","Number",":"
"1949","Slovakia","Total","Total","Number",":"
"1949","Finland","Total","Total","Number",":"
"1949","Sweden","Total","Total","Number",":"
"1949","United Kingdom","Total","Total","Number",":"
"1949","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1949","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1949","European Free Trade Association","Total","Total","Number",":"
"1949","Iceland","Total","Total","Number","138,502"
"1949","Liechtenstein","Total","Total","Number",":"
"1949","Norway","Total","Total","Number",":"
"1949","Switzerland","Total","Total","Number",":"
"1949","Montenegro","Total","Total","Number",":"
"1949","Former Yugoslav Republic of Macedonia, the","Total","Total","Number",":"
"1949","Albania","Total","Total","Number",":"
"1949","Serbia","Total","Total","Number",":"
"1949","Turkey","Total","Total","Number",":"
"1949","Andorra","Total","Total","Number",":"
"1949","Belarus","Total","Total","Number",":"
"1949","Bosnia and Herzegovina","Total","Total","Number",":"
"1949","Kosovo (under United Nations Security Council Resolution 1244/99)","Total","Total","Number",":"
"1949","Moldova","Total","Total","Number",":"
"1949","Monaco","Total","Total","Number",":"
"1949","Russia","Total","Total","Number",":"
"1949","San Marino","Total","Total","Number",":"
"1949","Ukraine","Total","Total","Number",":"
"1949","Armenia","Total","Total","Number",":"
"1949","Azerbaijan","Total","Total","Number",":"
"1949","Georgia","Total","Total","Number",":"
"1950","European Union (28 countries)","Total","Total","Number",":"
"1950","European Union (27 countries)","Total","Total","Number",":"
"1950","Euro area (19 countries)","Total","Total","Number",":"
"1950","Euro area (18 countries)","Total","Total","Number",":"
"1950","Belgium","Total","Total","Number","8,639,000"
"1950","Bulgaria","Total","Total","Number",":"
"1950","Czech Republic","Total","Total","Number",":"
"1950","Denmark","Total","Total","Number","4,251,497"
"1950","Germany (until 1990 former territory of the FRG)","Total","Total","Number",":"
"1950","Germany including former GDR","Total","Total","Number","68,376,000"
"1950","Estonia","Total","Total","Number",":"
"1950","Ireland","Total","Total","Number","2,969,000"
"1950","Greece","Total","Total","Number","7,566,000"
"1950","Spain","Total","Total","Number","28,009,000"
"1950","France","Total","Total","Number",":"
"1950","France (metropolitan)","Total","Total","Number","41,647,258"
"1950","Croatia","Total","Total","Number",":"
"1950","Italy","Total","Total","Number",":"
"1950","Cyprus","Total","Total","Number",":"
"1950","Latvia","Total","Total","Number",":"
"1950","Lithuania","Total","Total","Number",":"
"1950","Luxembourg","Total","Total","Number","294,668"
"1950","Hungary","Total","Total","Number",":"
"1950","Malta","Total","Total","Number",":"
"1950","Netherlands","Total","Total","Number","10,026,773"
"1950","Austria","Total","Total","Number","6,925,961"
"1950","Poland","Total","Total","Number",":"
"1950","Portugal","Total","Total","Number","8,437,030"
"1950","Romania","Total","Total","Number",":"
"1950","Slovenia","Total","Total","Number",":"
"1950","Slovakia","Total","Total","Number",":"
"1950","Finland","Total","Total","Number","3,987,996"
"1950","Sweden","Total","Total","Number","6,986,181"
"1950","United Kingdom","Total","Total","Number","50,616,000"
"1950","European Economic Area (EU28 plus IS, LI, NO)","Total","Total","Number",":"
"1950","European Economic Area (EU27 plus IS, LI, NO)","Total","Total","Number",":"
"1950","European Free Trade Association","Total","Total","Number",":"
"1950","Iceland","Total","Total","Number","141,042"
