"TIME","GEO","INDIC_DE","Value"
"2006","European Union (28 countries)","Median age of population","39.8"
"2006","European Union (28 countries)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.9"
"2006","European Union (28 countries)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.0"
"2006","European Union (28 countries)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.9"
"2006","European Union (28 countries)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","39.7"
"2006","European Union (28 countries)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","25.0"
"2006","European Union (28 countries)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.3"
"2006","European Union (27 countries)","Median age of population","39.8"
"2006","European Union (27 countries)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","48.9"
"2006","European Union (27 countries)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.0"
"2006","European Union (27 countries)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.9"
"2006","European Union (27 countries)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","39.7"
"2006","European Union (27 countries)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","25.0"
"2006","European Union (27 countries)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","39.3"
"2006","Euro area (19 countries)","Median age of population","40.4"
"2006","Euro area (19 countries)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","49.9"
"2006","Euro area (19 countries)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.4"
"2006","Euro area (19 countries)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.5"
"2006","Euro area (19 countries)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","38.6"
"2006","Euro area (19 countries)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.4"
"2006","Euro area (19 countries)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.8"
"2006","Euro area (18 countries)","Median age of population","40.4"
"2006","Euro area (18 countries)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","49.9"
"2006","Euro area (18 countries)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.4"
"2006","Euro area (18 countries)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.5"
"2006","Euro area (18 countries)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","38.5"
"2006","Euro area (18 countries)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.4"
"2006","Euro area (18 countries)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.8"
"2006","Euro area (17 countries)","Median age of population","40.5"
"2006","Euro area (17 countries)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","49.9"
"2006","Euro area (17 countries)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.4"
"2006","Euro area (17 countries)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.5"
"2006","Euro area (17 countries)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","38.5"
"2006","Euro area (17 countries)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.4"
"2006","Euro area (17 countries)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.8"
"2006","Euro area (16 countries)","Median age of population","40.5"
"2006","Euro area (16 countries)","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","49.9"
"2006","Euro area (16 countries)","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","79.4"
"2006","Euro area (16 countries)","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","23.5"
"2006","Euro area (16 countries)","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","38.5"
"2006","Euro area (16 countries)","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.4"
"2006","Euro area (16 countries)","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.8"
"2006","Belgium","Median age of population","40.3"
"2006","Belgium","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","52.2"
"2006","Belgium","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","82.3"
"2006","Belgium","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","26.0"
"2006","Belgium","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","42.1"
"2006","Belgium","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","26.2"
"2006","Belgium","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","40.2"
"2006","Bulgaria","Median age of population","41.5"
"2006","Bulgaria","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","44.8"
"2006","Bulgaria","Age dependency ratio, 2nd variant (Population aged 0-19 and 60 and more to pop. aged 20-59)","76.8"
"2006","Bulgaria","Young-age dependency ratio 1st variant (population aged 0-14 to population 15-64 years)","19.4"
"2006","Bulgaria","Young-age dependency ratio 2nd variant (population aged 0-19 to population 20-59 years)","35.4"
"2006","Bulgaria","Old dependency ratio 1st variant (population 65 and over to population 15 to64 years)","25.3"
"2006","Bulgaria","Old dependency ratio 2nd variant (population 60 and over to population 20 to 59 years)","41.5"
"2006","Czech Republic","Median age of population","39.0"
"2006","Czech Republic","Age dependency ratio, 1st variant (Population aged 0-14 and 65 and more to pop. aged 15-64)","40.6"
