"TIME","CURRENCY","STATINFO","UNIT","Value"
"2006","Swiss franc","Average","National currency","1.5729"
"2007","Swiss franc","Average","National currency","1.6427"
"2008","Swiss franc","Average","National currency","1.5874"
"2009","Swiss franc","Average","National currency","1.5100"
"2010","Swiss franc","Average","National currency","1.3803"
"2011","Swiss franc","Average","National currency","1.2326"
"2012","Swiss franc","Average","National currency","1.2053"
"2013","Swiss franc","Average","National currency","1.2311"
"2014","Swiss franc","Average","National currency","1.2146"
"2015","Swiss franc","Average","National currency","1.0679"
