"03.01.11d Arbeitslosenquote in % nach Heimat, Geschlecht und Monat seit 2006",,,
,,,
Jahr,Geschlecht,Heimat,Durchschnitt
2006,Geschlecht - Total,Heimat - Total,3.2
2007,Geschlecht - Total,Heimat - Total,2.9
2008,Geschlecht - Total,Heimat - Total,2.3
2009,Geschlecht - Total,Heimat - Total,2.8
2010,Geschlecht - Total,Heimat - Total,2.6
2011,Geschlecht - Total,Heimat - Total,2.3
2012,Geschlecht - Total,Heimat - Total,2.4
2013,Geschlecht - Total,Heimat - Total,2.5
2014,Geschlecht - Total,Heimat - Total,2.4
2015,Geschlecht - Total,Heimat - Total,2.4
2016,Geschlecht - Total,Heimat - Total,2.3
