"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2008M01","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","18,420"
"2008M01","European Union (28 countries)","Total","Total","Total","First time applicant","Person","13,065"
"2008M01","Belgium","Total","Total","Total","Asylum applicant","Person","1,460"
"2008M01","Belgium","Total","Total","Total","First time applicant","Person","1,070"
"2008M01","Bulgaria","Total","Total","Total","Asylum applicant","Person","85"
"2008M01","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2008M01","Czech Republic","Total","Total","Total","Asylum applicant","Person","210"
"2008M01","Czech Republic","Total","Total","Total","First time applicant","Person","155"
"2008M01","Denmark","Total","Total","Total","Asylum applicant","Person","240"
"2008M01","Denmark","Total","Total","Total","First time applicant","Person","240"
"2008M01","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","3,055"
"2008M01","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","2,395"
"2008M01","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2008M01","Estonia","Total","Total","Total","First time applicant","Person","0"
"2008M01","Ireland","Total","Total","Total","Asylum applicant","Person","330"
"2008M01","Ireland","Total","Total","Total","First time applicant","Person","315"
"2008M01","Greece","Total","Total","Total","Asylum applicant","Person","1,685"
"2008M01","Greece","Total","Total","Total","First time applicant","Person",":"
"2008M01","Spain","Total","Total","Total","Asylum applicant","Person","370"
"2008M01","Spain","Total","Total","Total","First time applicant","Person",":"
"2008M01","France","Total","Total","Total","Asylum applicant","Person","2,860"
"2008M01","France","Total","Total","Total","First time applicant","Person",":"
"2008M01","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2008M01","Croatia","Total","Total","Total","First time applicant","Person",":"
"2008M01","Italy","Total","Total","Total","Asylum applicant","Person","1,170"
"2008M01","Italy","Total","Total","Total","First time applicant","Person","1,170"
"2008M01","Cyprus","Total","Total","Total","Asylum applicant","Person","245"
"2008M01","Cyprus","Total","Total","Total","First time applicant","Person","245"
"2008M01","Latvia","Total","Total","Total","Asylum applicant","Person","0"
"2008M01","Latvia","Total","Total","Total","First time applicant","Person","0"
"2008M01","Lithuania","Total","Total","Total","Asylum applicant","Person","50"
"2008M01","Lithuania","Total","Total","Total","First time applicant","Person",":"
"2008M01","Luxembourg","Total","Total","Total","Asylum applicant","Person","45"
"2008M01","Luxembourg","Total","Total","Total","First time applicant","Person",":"
"2008M01","Hungary","Total","Total","Total","Asylum applicant","Person","240"
"2008M01","Hungary","Total","Total","Total","First time applicant","Person",":"
"2008M01","Malta","Total","Total","Total","Asylum applicant","Person","220"
"2008M01","Malta","Total","Total","Total","First time applicant","Person","220"
"2008M01","Netherlands","Total","Total","Total","Asylum applicant","Person","1,060"
"2008M01","Netherlands","Total","Total","Total","First time applicant","Person","905"
"2008M01","Austria","Total","Total","Total","Asylum applicant","Person","1,105"
"2008M01","Austria","Total","Total","Total","First time applicant","Person",":"
"2008M01","Poland","Total","Total","Total","Asylum applicant","Person","490"
"2008M01","Poland","Total","Total","Total","First time applicant","Person","360"
"2008M01","Portugal","Total","Total","Total","Asylum applicant","Person","5"
"2008M01","Portugal","Total","Total","Total","First time applicant","Person","5"
"2008M01","Romania","Total","Total","Total","Asylum applicant","Person","50"
"2008M01","Romania","Total","Total","Total","First time applicant","Person",":"
"2008M01","Slovenia","Total","Total","Total","Asylum applicant","Person","15"
"2008M01","Slovenia","Total","Total","Total","First time applicant","Person","15"
"2008M01","Slovakia","Total","Total","Total","Asylum applicant","Person","45"
"2008M01","Slovakia","Total","Total","Total","First time applicant","Person",":"
"2008M01","Finland","Total","Total","Total","Asylum applicant","Person","160"
"2008M01","Finland","Total","Total","Total","First time applicant","Person",":"
"2008M01","Sweden","Total","Total","Total","Asylum applicant","Person","3,220"
"2008M01","Sweden","Total","Total","Total","First time applicant","Person","3,195"
"2008M01","United Kingdom","Total","Total","Total","Asylum applicant","Person",":"
"2008M01","United Kingdom","Total","Total","Total","First time applicant","Person","2,775"
"2008M01","Iceland","Total","Total","Total","Asylum applicant","Person","5"
"2008M01","Iceland","Total","Total","Total","First time applicant","Person",":"
"2008M01","Liechtenstein","Total","Total","Total","Asylum applicant","Person","5"
"2008M01","Liechtenstein","Total","Total","Total","First time applicant","Person",":"
"2008M01","Norway","Total","Total","Total","Asylum applicant","Person","865"
"2008M01","Norway","Total","Total","Total","First time applicant","Person","835"
"2008M01","Switzerland","Total","Total","Total","Asylum applicant","Person","1,050"
"2008M01","Switzerland","Total","Total","Total","First time applicant","Person","900"
"2008M01","Total","Total","Total","Total","Asylum applicant","Person","20,340"
"2008M01","Total","Total","Total","Total","First time applicant","Person","14,805"
"2008M02","European Union (28 countries)","Total","Total","Total","Asylum applicant","Person","16,980"
"2008M02","European Union (28 countries)","Total","Total","Total","First time applicant","Person","11,325"
"2008M02","Belgium","Total","Total","Total","Asylum applicant","Person","1,250"
"2008M02","Belgium","Total","Total","Total","First time applicant","Person","870"
"2008M02","Bulgaria","Total","Total","Total","Asylum applicant","Person","90"
"2008M02","Bulgaria","Total","Total","Total","First time applicant","Person",":"
"2008M02","Czech Republic","Total","Total","Total","Asylum applicant","Person","190"
"2008M02","Czech Republic","Total","Total","Total","First time applicant","Person","150"
"2008M02","Denmark","Total","Total","Total","Asylum applicant","Person","175"
"2008M02","Denmark","Total","Total","Total","First time applicant","Person","175"
"2008M02","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Asylum applicant","Person","2,400"
"2008M02","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","1,820"
"2008M02","Estonia","Total","Total","Total","Asylum applicant","Person","0"
"2008M02","Estonia","Total","Total","Total","First time applicant","Person","0"
"2008M02","Ireland","Total","Total","Total","Asylum applicant","Person","295"
"2008M02","Ireland","Total","Total","Total","First time applicant","Person","290"
"2008M02","Greece","Total","Total","Total","Asylum applicant","Person","1,725"
"2008M02","Greece","Total","Total","Total","First time applicant","Person",":"
"2008M02","Spain","Total","Total","Total","Asylum applicant","Person","440"
"2008M02","Spain","Total","Total","Total","First time applicant","Person",":"
"2008M02","France","Total","Total","Total","Asylum applicant","Person","3,240"
"2008M02","France","Total","Total","Total","First time applicant","Person",":"
"2008M02","Croatia","Total","Total","Total","Asylum applicant","Person",":"
"2008M02","Croatia","Total","Total","Total","First time applicant","Person",":"
"2008M02","Italy","Total","Total","Total","Asylum applicant","Person","1,105"
"2008M02","Italy","Total","Total","Total","First time applicant","Person","1,105"
"2008M02","Cyprus","Total","Total","Total","Asylum applicant","Person","440"
"2008M02","Cyprus","Total","Total","Total","First time applicant","Person","440"
"2008M02","Latvia","Total","Total","Total","Asylum applicant","Person","0"
"2008M02","Latvia","Total","Total","Total","First time applicant","Person","0"
"2008M02","Lithuania","Total","Total","Total","Asylum applicant","Person","20"
"2008M02","Lithuania","Total","Total","Total","First time applicant","Person",":"
