"TIME","GEO","CITIZEN","UNIT","Value"
"1985","European Union (27 countries)","Total","Person",":"
"1985","Belgium","Total","Person","5,385"
"1985","Bulgaria","Total","Person",":"
"1985","Czech Republic","Total","Person",":"
"1985","Denmark","Total","Person","8,700"
"1985","Germany (until 1990 former territory of the FRG)","Total","Person","73,830"
"1985","Estonia","Total","Person",":"
"1985","Ireland","Total","Person",":"
"1985","Greece","Total","Person","1,400"
"1985","Spain","Total","Person","2,300"
"1985","France","Total","Person","28,925"
"1985","Italy","Total","Person","5,400"
"1985","Cyprus","Total","Person",":"
"1985","Latvia","Total","Person",":"
"1985","Lithuania","Total","Person",":"
"1985","Luxembourg","Total","Person","80"
"1985","Hungary","Total","Person",":"
"1985","Malta","Total","Person",":"
"1985","Netherlands","Total","Person","5,645"
"1985","Austria","Total","Person","6,725"
"1985","Poland","Total","Person",":"
"1985","Portugal","Total","Person","70"
"1985","Romania","Total","Person",":"
"1985","Slovenia","Total","Person",":"
"1985","Slovakia","Total","Person",":"
"1985","Finland","Total","Person","20"
"1985","Sweden","Total","Person","14,500"
"1985","United Kingdom","Total","Person","6,200"
"1985","Iceland","Total","Person",":"
"1985","Norway","Total","Person","830"
"1985","Switzerland","Total","Person",":"
"1986","European Union (27 countries)","Total","Person",":"
"1986","Belgium","Total","Person","7,645"
"1986","Bulgaria","Total","Person",":"
"1986","Czech Republic","Total","Person",":"
"1986","Denmark","Total","Person","9,300"
"1986","Germany (until 1990 former territory of the FRG)","Total","Person","99,650"
"1986","Estonia","Total","Person",":"
"1986","Ireland","Total","Person",":"
"1986","Greece","Total","Person","4,300"
"1986","Spain","Total","Person","2,300"
"1986","France","Total","Person","26,290"
"1986","Italy","Total","Person","6,500"
"1986","Cyprus","Total","Person",":"
"1986","Latvia","Total","Person",":"
"1986","Lithuania","Total","Person",":"
"1986","Luxembourg","Total","Person","90"
"1986","Hungary","Total","Person",":"
"1986","Malta","Total","Person",":"
"1986","Netherlands","Total","Person","5,865"
"1986","Austria","Total","Person","8,640"
"1986","Poland","Total","Person",":"
"1986","Portugal","Total","Person","120"
"1986","Romania","Total","Person",":"
"1986","Slovenia","Total","Person",":"
"1986","Slovakia","Total","Person",":"
"1986","Finland","Total","Person","25"
"1986","Sweden","Total","Person","14,600"
"1986","United Kingdom","Total","Person","5,700"
