"TIME","GEO","CITIZEN","UNIT","Value"
"1999M01","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M01","Belgium","Total","Person","1,945"
"1999M01","Bulgaria","Total","Person",":"
"1999M01","Czechia","Total","Person",":"
"1999M01","Denmark","Total","Person","685"
"1999M01","Germany (until 1990 former territory of the FRG)","Total","Person","8,215"
"1999M01","Estonia","Total","Person",":"
"1999M01","Ireland","Total","Person","235"
"1999M01","Greece","Total","Person","165"
"1999M01","Spain","Total","Person","655"
"1999M01","France","Total","Person","1,755"
"1999M01","Italy","Total","Person","1,265"
"1999M01","Cyprus","Total","Person",":"
"1999M01","Latvia","Total","Person",":"
"1999M01","Lithuania","Total","Person",":"
"1999M01","Luxembourg","Total","Person","240"
"1999M01","Hungary","Total","Person",":"
"1999M01","Malta","Total","Person",":"
"1999M01","Netherlands","Total","Person","3,555"
"1999M01","Austria","Total","Person","1,365"
"1999M01","Poland","Total","Person",":"
"1999M01","Portugal","Total","Person","35"
"1999M01","Romania","Total","Person",":"
"1999M01","Slovenia","Total","Person",":"
"1999M01","Slovakia","Total","Person",":"
"1999M01","Finland","Total","Person","100"
"1999M01","Sweden","Total","Person","940"
"1999M01","United Kingdom","Total","Person","4,700"
"1999M01","Iceland","Total","Person",":"
"1999M01","Norway","Total","Person",":"
"1999M01","Turkey","Total","Person",":"
"1999M02","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M02","Belgium","Total","Person","1,760"
"1999M02","Bulgaria","Total","Person",":"
"1999M02","Czechia","Total","Person",":"
"1999M02","Denmark","Total","Person","410"
"1999M02","Germany (until 1990 former territory of the FRG)","Total","Person","7,335"
"1999M02","Estonia","Total","Person",":"
"1999M02","Ireland","Total","Person","360"
"1999M02","Greece","Total","Person","80"
"1999M02","Spain","Total","Person","605"
"1999M02","France","Total","Person","1,915"
"1999M02","Italy","Total","Person","435"
"1999M02","Cyprus","Total","Person",":"
"1999M02","Latvia","Total","Person",":"
"1999M02","Lithuania","Total","Person",":"
"1999M02","Luxembourg","Total","Person","210"
"1999M02","Hungary","Total","Person",":"
"1999M02","Malta","Total","Person",":"
"1999M02","Netherlands","Total","Person","2,640"
"1999M02","Austria","Total","Person","1,150"
"1999M02","Poland","Total","Person",":"
"1999M02","Portugal","Total","Person","15"
"1999M02","Romania","Total","Person",":"
"1999M02","Slovenia","Total","Person",":"
"1999M02","Slovakia","Total","Person",":"
"1999M02","Finland","Total","Person","90"
"1999M02","Sweden","Total","Person","755"
"1999M02","United Kingdom","Total","Person","4,040"
"1999M02","Iceland","Total","Person",":"
"1999M02","Norway","Total","Person",":"
"1999M02","Turkey","Total","Person",":"
"1999M03","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M03","Belgium","Total","Person","2,015"
"1999M03","Bulgaria","Total","Person",":"
"1999M03","Czechia","Total","Person",":"
"1999M03","Denmark","Total","Person","575"
"1999M03","Germany (until 1990 former territory of the FRG)","Total","Person","7,925"
"1999M03","Estonia","Total","Person",":"
"1999M03","Ireland","Total","Person","360"
"1999M03","Greece","Total","Person","95"
"1999M03","Spain","Total","Person","785"
"1999M03","France","Total","Person","2,250"
"1999M03","Italy","Total","Person","595"
"1999M03","Cyprus","Total","Person",":"
"1999M03","Latvia","Total","Person",":"
"1999M03","Lithuania","Total","Person",":"
"1999M03","Luxembourg","Total","Person","195"
"1999M03","Hungary","Total","Person",":"
"1999M03","Malta","Total","Person",":"
"1999M03","Netherlands","Total","Person","2,640"
"1999M03","Austria","Total","Person","1,375"
"1999M03","Poland","Total","Person",":"
"1999M03","Portugal","Total","Person","20"
"1999M03","Romania","Total","Person",":"
"1999M03","Slovenia","Total","Person",":"
"1999M03","Slovakia","Total","Person",":"
"1999M03","Finland","Total","Person","100"
"1999M03","Sweden","Total","Person","850"
"1999M03","United Kingdom","Total","Person","4,635"
"1999M03","Iceland","Total","Person",":"
"1999M03","Norway","Total","Person",":"
"1999M03","Turkey","Total","Person",":"
"1999M04","European Union - 15 countries (1995-2004)","Total","Person",":"
"1999M04","Belgium","Total","Person","1,875"
"1999M04","Bulgaria","Total","Person",":"
"1999M04","Czechia","Total","Person",":"
"1999M04","Denmark","Total","Person","640"
"1999M04","Germany (until 1990 former territory of the FRG)","Total","Person","6,490"
"1999M04","Estonia","Total","Person",":"
"1999M04","Ireland","Total","Person","315"
"1999M04","Greece","Total","Person","65"
"1999M04","Spain","Total","Person","685"
"1999M04","France","Total","Person","2,235"
"1999M04","Italy","Total","Person","145"
"1999M04","Cyprus","Total","Person",":"
"1999M04","Latvia","Total","Person",":"
"1999M04","Lithuania","Total","Person",":"
"1999M04","Luxembourg","Total","Person","335"
"1999M04","Hungary","Total","Person",":"
"1999M04","Malta","Total","Person",":"
"1999M04","Netherlands","Total","Person","2,550"
