"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2008Q1","European Union (28 countries)","Total","Total","Total","Total","Person","44,505"
"2008Q1","European Union (28 countries)","Total","Total","Total","Total positive decisions","Person","13,000"
"2008Q1","European Union (28 countries)","Total","Total","Total","Geneva Convention status","Person","6,830"
"2008Q1","European Union (28 countries)","Total","Total","Total","Humanitarian status","Person","3,125"
"2008Q1","European Union (28 countries)","Total","Total","Total","Rejected","Person","31,505"
"2008Q1","Belgium","Total","Total","Total","Total","Person","3,185"
"2008Q1","Belgium","Total","Total","Total","Total positive decisions","Person","715"
"2008Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","630"
"2008Q1","Belgium","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Belgium","Total","Total","Total","Rejected","Person","2,470"
"2008Q1","Bulgaria","Total","Total","Total","Total","Person","155"
"2008Q1","Bulgaria","Total","Total","Total","Total positive decisions","Person","65"
"2008Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q1","Bulgaria","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Bulgaria","Total","Total","Total","Rejected","Person","90"
"2008Q1","Czech Republic","Total","Total","Total","Total","Person","555"
"2008Q1","Czech Republic","Total","Total","Total","Total positive decisions","Person","45"
"2008Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","30"
"2008Q1","Czech Republic","Total","Total","Total","Humanitarian status","Person","5"
"2008Q1","Czech Republic","Total","Total","Total","Rejected","Person","505"
"2008Q1","Denmark","Total","Total","Total","Total","Person","255"
"2008Q1","Denmark","Total","Total","Total","Total positive decisions","Person","180"
"2008Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","45"
"2008Q1","Denmark","Total","Total","Total","Humanitarian status","Person","50"
"2008Q1","Denmark","Total","Total","Total","Rejected","Person","75"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total","Person","5,630"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Total positive decisions","Person","2,095"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,975"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Humanitarian status","Person","90"
"2008Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Rejected","Person","3,535"
"2008Q1","Estonia","Total","Total","Total","Total","Person","5"
"2008Q1","Estonia","Total","Total","Total","Total positive decisions","Person","5"
"2008Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q1","Estonia","Total","Total","Total","Humanitarian status","Person",":"
"2008Q1","Estonia","Total","Total","Total","Rejected","Person","0"
"2008Q1","Ireland","Total","Total","Total","Total","Person","900"
"2008Q1","Ireland","Total","Total","Total","Total positive decisions","Person","115"
