freq,unit,citizen,sex,age,decision,geo\TIME_PERIOD	2008-Q1 	2008-Q2 	2008-Q3 	2008-Q4 	2009-Q1 	2009-Q2 	2009-Q3 	2009-Q4 	2010-Q1 	2010-Q2 	2010-Q3 	2010-Q4 	2011-Q1 	2011-Q2 	2011-Q3 	2011-Q4 	2012-Q1 	2012-Q2 	2012-Q3 	2012-Q4 	2013-Q1 	2013-Q2 	2013-Q3 	2013-Q4 	2014-Q1 	2014-Q2 	2014-Q3 	2014-Q4 	2015-Q1 	2015-Q2 	2015-Q3 	2015-Q4 	2016-Q1 	2016-Q2 	2016-Q3 	2016-Q4 	2017-Q1 	2017-Q2 	2017-Q3 	2017-Q4 	2018-Q1 	2018-Q2 	2018-Q3 	2018-Q4 	2019-Q1 	2019-Q2 	2019-Q3 	2019-Q4 	2020-Q1 	2020-Q2 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,AT	3470 	3070 	2725 	3390 	3780 	3605 	3615 	3815 	3735 	3495 	3385 	3155 	3240 	2925 	3380 	3695 	4005 	3520 	3990 	4375 	4230 	4405 	4455 	3525 	695 	1945 	2375 	4390 	4315 	5325 	5085 	6375 	7745 	10790 	10530 	13350 	10955 	10655 	11540 	12010 	11195 	9925 	7325 	6075 	4905 	3335 	3015 	2635 	2655 	2040 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,BE	3030 	3550 	2765 	3610 	3335 	3535 	3635 	3865 	3710 	3520 	4030 	4965 	4890 	3905 	4380 	6635 	6500 	6310 	5720 	5970 	5750 	5270 	4720 	5655 	5085 	4715 	4825 	5715 	5040 	4700 	4415 	5265 	6205 	6920 	5735 	6100 	6185 	6245 	5730 	5890 	5385 	5900 	3740 	3990 	4250 	3845 	3680 	5395 	4880 	3890 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,BG	155 	220 	235 	60 	125 	150 	220 	150 	140 	120 	125 	135 	115 	115 	105 	270 	155 	170 	175 	140 	255 	340 	670 	1545 	2865 	1445 	1005 	2120 	1195 	2160 	2000 	820 	380 	435 	865 	1365 	1360 	1955 	900 	525 	410 	390 	535 	770 	160 	420 	330 	340 	305 	205 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,CH	1575 	2130 	1845 	1970 	1920 	2335 	3100 	3315 	4260 	4830 	3245 	2685 	3140 	3205 	4165 	3740 	4685 	4245 	3815 	3885 	3970 	4525 	3820 	4285 	5830 	5530 	5000 	5440 	5895 	5505 	5020 	5420 	6160 	6015 	5055 	5350 	4365 	3960 	3940 	3960 	4085 	4480 	4350 	4085 	2605 	3020 	3275 	3415 	3315 	2590 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,CY	0 	0 	0 	0 	755 	1250 	1175 	670 	680 	615 	535 	610 	495 	1030 	665 	435 	425 	275 	370 	265 	170 	215 	175 	235 	215 	270 	410 	405 	485 	390 	705 	485 	600 	510 	330 	535 	475 	790 	645 	540 	510 	380 	800 	790 	615 	640 	1090 	930 	1160 	205 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,CZ	550 	385 	245 	215 	180 	140 	110 	100 	120 	115 	120 	145 	210 	180 	160 	140 	220 	165 	160 	170 	165 	185 	230 	320 	175 	280 	225 	320 	300 	405 	300 	330 	375 	405 	280 	240 	300 	290 	330 	270 	375 	310 	320 	375 	355 	355 	385 	295 	290 	255 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,DE	5600 	4215 	4725 	4705 	6140 	6865 	7290 	6470 	8115 	10600 	13040 	13550 	11785 	9480 	8915 	10100 	11555 	12360 	12080 	22610 	13690 	15155 	22655 	24670 	21205 	19750 	20655 	35670 	48535 	45960 	54255 	100530 	138650 	117830 	163320 	211290 	191770 	165045 	90940 	76445 	58885 	40415 	37510 	42300 	49110 	34725 	37995 	32350 	35490 	33250 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,DK	250 	425 	335 	235 	170 	225 	405 	850 	650 	855 	875 	900 	825 	975 	815 	945 	870 	875 	1175 	1760 	1520 	1235 	1705 	2505 	1640 	1920 	2370 	2125 	3815 	2905 	2520 	3055 	2205 	3150 	2490 	2565 	2480 	2360 	1100 	940 	605 	485 	670 	865 	770 	765 	655 	840 	460 	280 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EE	5 	5 	0 	0 	10 	0 	5 	10 	15 	10 	10 	5 	10 	10 	30 	5 	10 	20 	20 	5 	10 	15 	20 	10 	10 	15 	15 	15 	20 	35 	50 	70 	45 	55 	50 	45 	55 	45 	25 	25 	25 	30 	10 	15 	25 	20 	15 	30 	25 	15 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EL	880 	7525 	9325 	11850 	4140 	5270 	3125 	1815 	1000 	1145 	710 	600 	1345 	2400 	2635 	2290 	2880 	3545 	1525 	3240 	2855 	3000 	3895 	3335 	4180 	5050 	2185 	1890 	2550 	2355 	2500 	2235 	2140 	2380 	3090 	3845 	4430 	5760 	6780 	7545 	6860 	8055 	8605 	8820 	8310 	7315 	8275 	8800 	11210 	18275 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,ES	1490 	880 	1300 	1460 	1310 	1145 	1075 	955 	490 	670 	840 	780 	800 	650 	935 	1010 	575 	670 	580 	765 	655 	565 	465 	685 	665 	790 	1315 	850 	650 	750 	820 	1015 	2285 	2230 	3600 	2135 	3560 	2275 	2475 	3745 	3370 	2275 	3400 	2835 	2845 	6375 	18270 	30545 	33685 	8090 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EU27_2020	38930 	45935 	48030 	57255 	50495 	51765 	48065 	49395 	45270 	47795 	48985 	53705 	48195 	51140 	51445 	60780 	59970 	58670 	55095 	86580 	62405 	68040 	74200 	87155 	77510 	77715 	80025 	105785 	113920 	116525 	132100 	196040 	232195 	227165 	273265 	342865 	287300 	264575 	193030 	188875 	157820 	135065 	125965 	134050 	134280 	124830 	136145 	145580 	142590 	94580 
Q,PER,EXT_EU27_2020,T,TOTAL,TOTAL,EU28	44245 	52130 	54525 	63025 	56845 	58970 	57455 	57545 	52315 	54625 	55460 	60010 	54590 	56625 	57090 	66200 	66030 	63845 	60375 	92060 	69120 	74385 	79615 	91125 	81095 	82420 	88145 	115190 	126640 	124580 	140690 	204745 	240345 	234645 	280865 	350545 	294965 	271020 	199665 	195970 	166170 	142240 	132855 	140635 	141870 	131685 	143115 	152685 	: 	: 
