"TIME","GEO","UNIT","NA_ITEM","Value"
"2006","European Union (28 countries)","Current prices, million euro","Gross domestic product at market prices","12,181,944.0"
"2006","European Union (28 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","12,181,944.0"
"2006","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","11,374,151.4"
"2006","European Union (15 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","10,779,244.9"
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","8,750,372.9"
"2006","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","8,510,297.4"
"2006","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","8,903,693.0"
"2006","Euro area (19 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","8,756,410.2"
"2006","Euro area (18 countries)","Current prices, million euro","Gross domestic product at market prices","8,879,613.8"
"2006","Euro area (18 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","8,711,909.6"
"2006","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","8,750,372.9"
"2006","Euro area (12 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","8,510,297.4"
"2006","Belgium","Current prices, million euro","Gross domestic product at market prices","326,662.0"
"2006","Belgium","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","301,101.5"
"2006","Bulgaria","Current prices, million euro","Gross domestic product at market prices","27,349.9"
"2006","Bulgaria","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","71,694.5"
"2006","Czech Republic","Current prices, million euro","Gross domestic product at market prices","123,743.2"
"2006","Czech Republic","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","203,350.8"
"2006","Denmark","Current prices, million euro","Gross domestic product at market prices","225,592.0"
"2006","Denmark","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","164,484.9"
"2006","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,393,250.0"
"2006","Germany (until 1990 former territory of the FRG)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","2,325,960.0"
"2006","Estonia","Current prices, million euro","Gross domestic product at market prices","13,521.7"
"2006","Estonia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","21,156.1"
"2006","Ireland","Current prices, million euro","Gross domestic product at market prices","184,923.3"
"2006","Ireland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","152,925.2"
"2006","Greece","Current prices, million euro","Gross domestic product at market prices","217,861.6"
"2006","Greece","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","253,602.8"
"2006","Spain","Current prices, million euro","Gross domestic product at market prices","1,007,974.0"
"2006","Spain","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,115,200.5"
"2006","France","Current prices, million euro","Gross domestic product at market prices","1,853,267.0"
"2006","France","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,670,904.5"
"2006","Croatia","Current prices, million euro","Gross domestic product at market prices","40,197.8"
"2006","Croatia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","61,469.2"
"2006","Italy","Current prices, million euro","Gross domestic product at market prices","1,548,473.4"
"2006","Italy","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,512,210.6"
"2006","Cyprus","Current prices, million euro","Gross domestic product at market prices","16,140.7"
"2006","Cyprus","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","18,206.0"
"2006","Latvia","Current prices, million euro","Gross domestic product at market prices","17,235.0"
"2006","Latvia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","29,981.6"
"2006","Lithuania","Current prices, million euro","Gross domestic product at market prices","24,079.2"
"2006","Lithuania","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","44,524.0"
"2006","Luxembourg","Current prices, million euro","Gross domestic product at market prices","33,409.3"
"2006","Luxembourg","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","29,737.3"
"2006","Hungary","Current prices, million euro","Gross domestic product at market prices","91,345.0"
"2006","Hungary","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","152,904.2"
"2006","Malta","Current prices, million euro","Gross domestic product at market prices","5,386.1"
"2006","Malta","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","7,801.1"
"2006","Netherlands","Current prices, million euro","Gross domestic product at market prices","579,212.0"
"2006","Netherlands","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","543,035.0"
"2006","Austria","Current prices, million euro","Gross domestic product at market prices","266,478.0"
"2006","Austria","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","253,229.1"
"2006","Poland","Current prices, million euro","Gross domestic product at market prices","273,418.0"
"2006","Poland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","470,127.0"
"2006","Portugal","Current prices, million euro","Gross domestic product at market prices","166,248.7"
"2006","Portugal","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","204,452.8"
"2006","Romania","Current prices, million euro","Gross domestic product at market prices","98,418.6"
"2006","Romania","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","196,999.2"
"2006","Slovenia","Current prices, million euro","Gross domestic product at market prices","31,561.2"
"2006","Slovenia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","42,256.3"
"2006","Slovakia","Current prices, million euro","Gross domestic product at market prices","45,396.2"
"2006","Slovakia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","82,265.4"
"2006","Finland","Current prices, million euro","Gross domestic product at market prices","172,614.0"
"2006","Finland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","147,891.1"
"2006","Sweden","Current prices, million euro","Gross domestic product at market prices","334,876.5"
"2006","Sweden","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","277,685.5"
"2006","United Kingdom","Current prices, million euro","Gross domestic product at market prices","2,063,309.5"
"2006","United Kingdom","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,826,795.8"
"2006","Iceland","Current prices, million euro","Gross domestic product at market prices","13,627.6"
"2006","Iceland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,081.5"
"2006","Norway","Current prices, million euro","Gross domestic product at market prices","275,289.8"
"2006","Norway","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","207,465.1"
"2006","Switzerland","Current prices, million euro","Gross domestic product at market prices","342,123.1"
"2006","Switzerland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","264,069.2"
"2006","Montenegro","Current prices, million euro","Gross domestic product at market prices",":"
"2006","Montenegro","Current prices, million Purchasing Power Standards","Gross domestic product at market prices",":"
"2006","Former Yugoslav Republic of Macedonia, the","Current prices, million euro","Gross domestic product at market prices","5,472.2"
"2006","Former Yugoslav Republic of Macedonia, the","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","15,256.1"
"2006","Albania","Current prices, million euro","Gross domestic product at market prices",":"
"2006","Albania","Current prices, million Purchasing Power Standards","Gross domestic product at market prices",":"
"2006","Serbia","Current prices, million euro","Gross domestic product at market prices","24,434.6"
"2006","Serbia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","59,660.0"
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices",":"
"2006","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices",":"
"2007","European Union (28 countries)","Current prices, million euro","Gross domestic product at market prices","12,914,631.9"
"2007","European Union (28 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","12,914,631.9"
"2007","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","11,976,949.8"
"2007","European Union (15 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","11,362,252.0"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,253,316.6"
"2007","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,069,033.8"
"2007","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,400,545.0"
"2007","Euro area (19 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,298,816.0"
"2007","Euro area (18 countries)","Current prices, million euro","Gross domestic product at market prices","9,371,504.3"
"2007","Euro area (18 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,248,316.8"
"2007","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,218,164.0"
"2007","Euro area (12 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,023,703.2"
"2007","Belgium","Current prices, million euro","Gross domestic product at market prices","344,713.0"
"2007","Belgium","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","315,388.2"
"2007","Bulgaria","Current prices, million euro","Gross domestic product at market prices","32,708.0"
"2007","Bulgaria","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","81,546.7"
"2007","Czech Republic","Current prices, million euro","Gross domestic product at market prices","138,004.0"
"2007","Czech Republic","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","222,963.0"
"2007","Denmark","Current prices, million euro","Gross domestic product at market prices","233,439.5"
"2007","Denmark","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","171,371.3"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million euro","Gross domestic product at market prices","2,513,230.0"
"2007","Germany (until 1990 former territory of the FRG)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","2,455,045.4"
"2007","Estonia","Current prices, million euro","Gross domestic product at market prices","16,246.4"
"2007","Estonia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","23,755.0"
"2007","Ireland","Current prices, million euro","Gross domestic product at market prices","197,053.7"
"2007","Ireland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","166,819.4"
"2007","Greece","Current prices, million euro","Gross domestic product at market prices","232,694.6"
"2007","Greece","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","262,727.8"
"2007","Spain","Current prices, million euro","Gross domestic product at market prices","1,080,807.0"
"2007","Spain","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,203,828.7"
"2007","France","Current prices, million euro","Gross domestic product at market prices","1,945,670.0"
"2007","France","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,767,907.0"
"2007","Croatia","Current prices, million euro","Gross domestic product at market prices","43,925.8"
"2007","Croatia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","68,108.2"
"2007","Italy","Current prices, million euro","Gross domestic product at market prices","1,609,550.8"
"2007","Italy","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,598,568.6"
"2007","Cyprus","Current prices, million euro","Gross domestic product at market prices","17,453.8"
"2007","Cyprus","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","19,827.7"
"2007","Latvia","Current prices, million euro","Gross domestic product at market prices","22,639.5"
"2007","Latvia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","33,961.5"
"2007","Lithuania","Current prices, million euro","Gross domestic product at market prices","29,040.7"
"2007","Lithuania","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","50,543.8"
"2007","Luxembourg","Current prices, million euro","Gross domestic product at market prices","36,766.1"
"2007","Luxembourg","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","32,266.8"
"2007","Hungary","Current prices, million euro","Gross domestic product at market prices","101,605.9"
"2007","Hungary","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","157,782.3"
"2007","Malta","Current prices, million euro","Gross domestic product at market prices","5,757.5"
"2007","Malta","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","8,226.8"
"2007","Netherlands","Current prices, million euro","Gross domestic product at market prices","613,280.0"
"2007","Netherlands","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","580,339.9"
"2007","Austria","Current prices, million euro","Gross domestic product at market prices","282,346.9"
"2007","Austria","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","264,092.8"
"2007","Poland","Current prices, million euro","Gross domestic product at market prices","313,654.1"
"2007","Poland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","522,453.0"
"2007","Portugal","Current prices, million euro","Gross domestic product at market prices","175,467.7"
"2007","Portugal","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","215,766.9"
"2007","Romania","Current prices, million euro","Gross domestic product at market prices","125,403.4"
"2007","Romania","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","224,384.9"
"2007","Slovenia","Current prices, million euro","Gross domestic product at market prices","35,152.6"
"2007","Slovenia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","45,324.1"
"2007","Slovakia","Current prices, million euro","Gross domestic product at market prices","56,090.6"
"2007","Slovakia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","93,499.4"
"2007","Finland","Current prices, million euro","Gross domestic product at market prices","186,584.0"
"2007","Finland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","160,949.6"
"2007","Sweden","Current prices, million euro","Gross domestic product at market prices","356,434.3"
"2007","Sweden","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","301,084.2"
"2007","United Kingdom","Current prices, million euro","Gross domestic product at market prices","2,168,911.7"
"2007","United Kingdom","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","1,866,113.4"
"2007","Iceland","Current prices, million euro","Gross domestic product at market prices","15,565.2"
"2007","Iceland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,785.0"
"2007","Norway","Current prices, million euro","Gross domestic product at market prices","293,128.0"
"2007","Norway","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","217,257.9"
"2007","Switzerland","Current prices, million euro","Gross domestic product at market prices","348,864.9"
"2007","Switzerland","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","290,457.0"
"2007","Montenegro","Current prices, million euro","Gross domestic product at market prices",":"
"2007","Montenegro","Current prices, million Purchasing Power Standards","Gross domestic product at market prices",":"
"2007","Former Yugoslav Republic of Macedonia, the","Current prices, million euro","Gross domestic product at market prices","6,094.5"
"2007","Former Yugoslav Republic of Macedonia, the","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","16,099.2"
"2007","Albania","Current prices, million euro","Gross domestic product at market prices",":"
"2007","Albania","Current prices, million Purchasing Power Standards","Gross domestic product at market prices",":"
"2007","Serbia","Current prices, million euro","Gross domestic product at market prices","29,451.6"
"2007","Serbia","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","62,606.8"
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million euro","Gross domestic product at market prices",":"
"2007","Kosovo (under United Nations Security Council Resolution 1244/99)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices",":"
"2008","European Union (28 countries)","Current prices, million euro","Gross domestic product at market prices","12,994,979.5"
"2008","European Union (28 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","12,994,979.5"
"2008","European Union (15 countries)","Current prices, million euro","Gross domestic product at market prices","11,932,650.4"
"2008","European Union (15 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","11,373,419.4"
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million euro","Gross domestic product at market prices","9,493,777.9"
"2008","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,149,482.8"
"2008","Euro area (19 countries)","Current prices, million euro","Gross domestic product at market prices","9,633,149.2"
"2008","Euro area (19 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,358,932.5"
"2008","Euro area (18 countries)","Current prices, million euro","Gross domestic product at market prices","9,600,452.9"
"2008","Euro area (18 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,306,912.9"
"2008","Euro area (12 countries)","Current prices, million euro","Gross domestic product at market prices","9,430,876.0"
"2008","Euro area (12 countries)","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","9,072,686.3"
"2008","Belgium","Current prices, million euro","Gross domestic product at market prices","354,066.0"
"2008","Belgium","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","316,630.7"
"2008","Bulgaria","Current prices, million euro","Gross domestic product at market prices","37,373.3"
"2008","Bulgaria","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","87,410.8"
"2008","Czech Republic","Current prices, million euro","Gross domestic product at market prices","160,961.5"
"2008","Czech Republic","Current prices, million Purchasing Power Standards","Gross domestic product at market prices","219,927.4"
"2008","Denmark","Current prices, million euro","Gross domestic product at market prices","241,087.3"
