geo,time,unemp,old
Switzerland,2002,3.51299693343861,
Switzerland,2003,4.75773018849844,
Switzerland,2004,5.05701206767691,
Switzerland,2005,5.06117897354323,
Switzerland,2006,4.58410552729175,3.2
Switzerland,2007,4.16080418316948,2.9
Switzerland,2008,3.89015342316608,2.3
Switzerland,2009,4.75297631247942,2.8
Switzerland,2010,4.8079568368,2.6
Switzerland,2011,4.4093810419,2.3
Switzerland,2012,4.4913991844,2.4
Switzerland,2013,4.7467318353,2.5
Switzerland,2014,4.8259365335,2.4
Switzerland,2015,4.8007075235,2.4
Switzerland,2016,4.91786572,
Switzerland,2017,4.79670471592003,
Switzerland,2018,4.71332211168374,
Switzerland,2019,4.39409755624827,
