"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2016-06-14 13:54:55 +02:00"

"Country / territory of asylum/residence",Origin,Year,Month,Value
Albania,Ghana,2016,April,1
Albania,"Iran (Islamic Rep. of)",2016,February,42
Albania,"Iran (Islamic Rep. of)",2016,April,60
Albania,Iraq,2016,January,1
Australia,Bangladesh,2016,January,26
Australia,Bangladesh,2016,February,26
Australia,Bangladesh,2016,March,25
Australia,Bangladesh,2016,April,30
Australia,Botswana,2016,January,2
Australia,Colombia,2016,January,2
Australia,Colombia,2016,February,4
Australia,Colombia,2016,March,1
Australia,Brazil,2016,January,2
Australia,Brazil,2016,February,1
Australia,Brazil,2016,March,1
Australia,Brazil,2016,April,1
Australia,Eritrea,2016,January,2
Australia,Eritrea,2016,February,1
Australia,Ethiopia,2016,January,2
Australia,Ethiopia,2016,February,9
Australia,Afghanistan,2016,January,82
Australia,Afghanistan,2016,February,187
Australia,Afghanistan,2016,March,191
Australia,Afghanistan,2016,April,159
Australia,Cambodia,2016,January,2
Australia,Cambodia,2016,February,8
Australia,Cambodia,2016,March,3
Australia,Cambodia,2016,April,5
Australia,Chad,2016,January,1
Australia,China,2016,January,91
Australia,China,2016,February,120
Australia,China,2016,March,143
Australia,China,2016,April,89
Australia,Chile,2016,January,1
Australia,Cameroon,2016,March,3
Australia,Ethiopia,2016,March,9
Australia,Ethiopia,2016,April,4
Australia,Albania,2016,February,2
Australia,Albania,2016,March,1
Australia,"Dem. Rep. of the Congo",2016,February,5
Australia,Algeria,2016,January,1
Australia,Fiji,2016,January,14
Australia,Fiji,2016,February,36
Australia,Fiji,2016,March,84
Australia,Fiji,2016,April,31
Australia,"New Caledonia",2016,April,1
Australia,France,2016,February,1
Australia,France,2016,March,1
Australia,Gabon,2016,February,1
Australia,"United Kingdom of Great Britain and Northern Ireland",2016,January,1
Australia,"United Kingdom of Great Britain and Northern Ireland",2016,April,5
Australia,Georgia,2016,February,2
Australia,Germany,2016,January,3
Australia,Germany,2016,April,5
Australia,Palestinian,2016,January,1
